2025-06-21 13:29:05,636 | __main__ | INFO | run_web_app.py:134 | PyNucleus web application starting
2025-06-21 13:29:05,702 | werkzeug | INFO | _internal.py:97 | [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:5001
 * Running on http://192.168.85.81:5001
2025-06-21 13:29:05,703 | werkzeug | INFO | _internal.py:97 | [33mPress CTRL+C to quit[0m
2025-06-21 13:29:23,308 | werkzeug | INFO | _internal.py:97 | 127.0.0.1 - - [21/Jun/2025 13:29:23] "GET / HTTP/1.1" 200 -
2025-06-21 13:29:24,241 | pynucleus.api.app | INFO | app.py:601 | Generating system statistics
2025-06-21 13:29:24,333 | pynucleus.rag.vector_store | INFO | vector_store.py:601 | ChromaDB client initialized successfully in vector store
2025-06-21 13:29:24,333 | pynucleus.rag.vector_store | INFO | vector_store.py:630 | Loaded existing ChromaDB collection: pynucleus_documents
2025-06-21 13:29:24,428 | pynucleus.rag.vector_store | INFO | vector_store.py:635 | ChromaDB collection contains 3590 documents
2025-06-21 13:29:25,446 | werkzeug | INFO | _internal.py:97 | 127.0.0.1 - - [21/Jun/2025 13:29:25] "GET /system_statistics HTTP/1.1" 200 -
2025-06-21 13:29:31,374 | pynucleus.api.app | INFO | app.py:289 | Processing question: what is modular plants? ...
2025-06-21 13:29:31,378 | pynucleus.rag.vector_store | INFO | vector_store.py:601 | ChromaDB client initialized successfully in vector store
2025-06-21 13:29:31,379 | pynucleus.rag.vector_store | INFO | vector_store.py:630 | Loaded existing ChromaDB collection: pynucleus_documents
2025-06-21 13:29:31,380 | pynucleus.rag.vector_store | INFO | vector_store.py:635 | ChromaDB collection contains 3590 documents
2025-06-21 13:29:31,605 | pynucleus.rag.vector_store | INFO | vector_store.py:712 | ChromaDB search for 'what is modular plants? ...' returned 5 results
2025-06-21 13:29:31,605 | pynucleus | WARNING | model_loader.py:62 | Prompt truncated to 1500 characters
2025-06-21 13:29:32,118 | pynucleus | WARNING | model_loader.py:99 | Model generation failed: Empty or too short response. Using fallback.
2025-06-21 13:29:32,220 | pynucleus.api.app | INFO | app.py:334 | Question processed successfully in 0.85s
2025-06-21 13:29:32,220 | werkzeug | INFO | _internal.py:97 | 127.0.0.1 - - [21/Jun/2025 13:29:32] "POST /ask HTTP/1.1" 200 -
2025-06-21 13:29:49,504 | pynucleus.api.app | INFO | app.py:429 | File uploaded to source_documents: 2007-petroleum-polymers-ehs-guidelines-en.pdf
2025-06-21 13:29:49,507 | pynucleus | INFO | collector.py:64 | ChromaDB client initialized successfully in collector
2025-06-21 13:29:49,513 | sentence_transformers.SentenceTransformer | INFO | SentenceTransformer.py:211 | Use pytorch device_name: mps
2025-06-21 13:29:49,513 | sentence_transformers.SentenceTransformer | INFO | SentenceTransformer.py:219 | Load pretrained SentenceTransformer: all-MiniLM-L6-v2
2025-06-21 13:29:51,040 | pynucleus | INFO | collector.py:113 | Found 12 files to ingest from data/01_raw/source_documents
2025-06-21 13:29:51,040 | pynucleus | INFO | collector.py:114 |   - 1 .txt files
2025-06-21 13:29:51,040 | pynucleus | INFO | collector.py:115 |   - 11 .pdf files
2025-06-21 13:29:51,040 | pynucleus | INFO | collector.py:116 |   - 0 .md files
2025-06-21 13:29:51,043 | pynucleus.rag.document_processor | ERROR | document_processor.py:83 | Failed to process document data/01_raw/source_documents/The Landscape of Modular Chemical Plants in Africa- Opportunities, Challenges, and Strategic Imperatives for Industrialization.txt: sequence item 0: expected str instance, dict found
2025-06-21 13:29:51,043 | pynucleus | WARNING | collector.py:128 | Document processor failed for data/01_raw/source_documents/The Landscape of Modular Chemical Plants in Africa- Opportunities, Challenges, and Strategic Imperatives for Industrialization.txt: sequence item 0: expected str instance, dict found
2025-06-21 13:29:52,103 | pynucleus.api.app | INFO | app.py:601 | Generating system statistics
2025-06-21 13:29:52,104 | pynucleus.rag.vector_store | INFO | vector_store.py:601 | ChromaDB client initialized successfully in vector store
2025-06-21 13:29:52,105 | pynucleus.rag.vector_store | INFO | vector_store.py:630 | Loaded existing ChromaDB collection: pynucleus_documents
2025-06-21 13:29:52,105 | pynucleus.rag.vector_store | INFO | vector_store.py:635 | ChromaDB collection contains 3590 documents
2025-06-21 13:29:53,276 | werkzeug | INFO | _internal.py:97 | 127.0.0.1 - - [21/Jun/2025 13:29:53] "GET /system_statistics HTTP/1.1" 200 -
2025-06-21 13:30:10,758 | pdfminer.pdfinterp | WARNING | pdfinterp.py:831 | Cannot set gray non-stroke color because /'P0' is an invalid float value
2025-06-21 13:30:10,760 | pdfminer.pdfinterp | WARNING | pdfinterp.py:831 | Cannot set gray non-stroke color because /'P0' is an invalid float value
2025-06-21 13:30:10,760 | pdfminer.pdfinterp | WARNING | pdfinterp.py:831 | Cannot set gray non-stroke color because /'P0' is an invalid float value
2025-06-21 13:30:10,760 | pdfminer.pdfinterp | WARNING | pdfinterp.py:831 | Cannot set gray non-stroke color because /'P0' is an invalid float value
2025-06-21 13:30:10,762 | pdfminer.pdfinterp | WARNING | pdfinterp.py:831 | Cannot set gray non-stroke color because /'P0' is an invalid float value
2025-06-21 13:30:18,650 | pynucleus.api.app | INFO | app.py:601 | Generating system statistics
2025-06-21 13:30:18,653 | pynucleus.rag.vector_store | INFO | vector_store.py:601 | ChromaDB client initialized successfully in vector store
2025-06-21 13:30:18,653 | pynucleus.rag.vector_store | INFO | vector_store.py:630 | Loaded existing ChromaDB collection: pynucleus_documents
2025-06-21 13:30:18,654 | pynucleus.rag.vector_store | INFO | vector_store.py:635 | ChromaDB collection contains 3590 documents
2025-06-21 13:30:19,664 | werkzeug | INFO | _internal.py:97 | 127.0.0.1 - - [21/Jun/2025 13:30:19] "GET /system_statistics HTTP/1.1" 200 -
2025-06-21 13:30:36,149 | camelot | INFO | lattice.py:407 | Processing page-1
2025-06-21 13:30:36,167 | pynucleus.rag.document_processor | ERROR | document_processor.py:466 | Failed to extract tables from data/01_raw/source_documents/Engineering Economics and Economic Design for Process Engineers.pdf: Ghostscript is not installed. You can install it using the instructions here: https://camelot-py.readthedocs.io/en/master/user/install-deps.html
2025-06-21 13:30:37,462 | camelot | INFO | lattice.py:407 | Processing page-1
2025-06-21 13:30:37,463 | pynucleus.rag.document_processor | ERROR | document_processor.py:466 | Failed to extract tables from data/01_raw/source_documents/2007-petroleum-polymers-ehs-guidelines-en.pdf: Ghostscript is not installed. You can install it using the instructions here: https://camelot-py.readthedocs.io/en/master/user/install-deps.html
2025-06-21 13:30:37,612 | camelot | INFO | lattice.py:407 | Processing page-1
2025-06-21 13:30:37,612 | pynucleus.rag.document_processor | ERROR | document_processor.py:466 | Failed to extract tables from data/01_raw/source_documents/Process Simulation Specifications.pdf: Ghostscript is not installed. You can install it using the instructions here: https://camelot-py.readthedocs.io/en/master/user/install-deps.html
2025-06-21 13:30:38,008 | pdfminer.pdfinterp | WARNING | pdfinterp.py:831 | Cannot set gray non-stroke color because /'P0' is an invalid float value
2025-06-21 13:30:38,141 | pdfminer.pdfinterp | WARNING | pdfinterp.py:831 | Cannot set gray non-stroke color because /'P0' is an invalid float value
2025-06-21 13:30:38,308 | pdfminer.pdfinterp | WARNING | pdfinterp.py:831 | Cannot set gray non-stroke color because /'P0' is an invalid float value
2025-06-21 13:30:38,522 | pdfminer.pdfinterp | WARNING | pdfinterp.py:831 | Cannot set gray non-stroke color because /'P0' is an invalid float value
2025-06-21 13:30:38,599 | pdfminer.pdfinterp | WARNING | pdfinterp.py:831 | Cannot set gray non-stroke color because /'P0' is an invalid float value
2025-06-21 13:30:39,218 | pdfminer.pdfinterp | WARNING | pdfinterp.py:831 | Cannot set gray non-stroke color because /'P0' is an invalid float value
2025-06-21 13:30:39,321 | pdfminer.pdfinterp | WARNING | pdfinterp.py:831 | Cannot set gray non-stroke color because /'P0' is an invalid float value
2025-06-21 13:30:39,397 | pdfminer.pdfinterp | WARNING | pdfinterp.py:831 | Cannot set gray non-stroke color because /'P0' is an invalid float value
2025-06-21 13:30:39,986 | pdfminer.pdfinterp | WARNING | pdfinterp.py:831 | Cannot set gray non-stroke color because /'P0' is an invalid float value
