2025-06-24 17:39:49,423 | src.pynucleus.api.app | INFO | app.py:247 | PyNucleus Flask API starting up...
2025-06-24 17:39:49,425 | src.pynucleus.api.app | INFO | app.py:183 | Diagnostics blueprint registered successfully
2025-06-24 17:40:00,366 | src.pynucleus.api.app | INFO | app.py:464 | Processing question: what is modular plants?... (stream: False)
2025-06-24 17:40:02,174 | datasets | INFO | config.py:54 | PyTorch version 2.7.1 available.
2025-06-24 17:40:02,639 | src.pynucleus.api.app | INFO | app.py:74 | RAG engine initialized successfully
2025-06-24 17:40:02,709 | pynucleus | INFO | engine.py:40 | ChromaDB client initialized successfully
2025-06-24 17:40:03,029 | pynucleus | INFO | engine.py:136 | Enhanced retrieval: 8 documents (filtered from 8) for query
2025-06-24 17:40:03,029 | pynucleus | INFO | engine.py:361 | Retrieved 8 documents for query: 'what is modular plants?'
2025-06-24 17:40:03,029 | pynucleus | INFO | engine.py:363 | Document lengths: [2501, 1801, 2537, 4187, 1637, 1889, 3123, 2636]
2025-06-24 17:40:03,030 | pynucleus | INFO | engine.py:206 | Built enhanced context: 3 chunks, 4969 characters
2025-06-24 17:40:03,030 | pynucleus | INFO | engine.py:373 | Using RAG approach with 8 documents
2025-06-24 17:40:03,031 | pynucleus | INFO | model_loader.py:195 | Generating with HuggingFace model (max_tokens=2048, stream=False)
2025-06-24 17:40:03,031 | pynucleus | WARNING | model_loader.py:239 | Prompt truncated to 1024 characters
2025-06-24 17:40:33,032 | pynucleus | WARNING | model_loader.py:287 | Generation timed out after 30 seconds
2025-06-24 17:40:33,036 | pynucleus | INFO | answer_processing.py:46 | Deduplication: 2 -> 2 sentences
2025-06-24 17:40:33,037 | pynucleus | INFO | answer_processing.py:156 | Added citation to answer lacking proper citations
2025-06-24 17:40:33,038 | src.pynucleus.api.app | INFO | app.py:564 | Question processed successfully in 32.67s
2025-06-24 17:41:56,665 | src.pynucleus.api.app | INFO | app.py:159 | Cleaning up application resources...
2025-06-24 17:41:56,842 | src.pynucleus.api.app | INFO | app.py:163 | Resource cleanup completed
2025-06-24 17:41:57,704 | src.pynucleus.api.app | INFO | app.py:159 | Cleaning up application resources...
2025-06-24 17:41:57,830 | src.pynucleus.api.app | INFO | app.py:163 | Resource cleanup completed
