2025-06-21 12:50:57,909 | __main__ | WARNING | run_web_app.py:201 | ⚠️ Application failed, restart attempt 9
2025-06-21 12:50:57,909 | __main__ | INFO | run_web_app.py:41 | Cleaning up application resources...
2025-06-21 12:50:58,053 | __main__ | INFO | run_web_app.py:55 | Resource cleanup completed
2025-06-21 12:50:58,054 | __main__ | WARNING | run_web_app.py:167 | ⚠️ Quick restart detected (uptime: 0.1s)
2025-06-21 12:51:28,062 | __main__ | INFO | run_web_app.py:194 | ✅ Starting application (attempt 10)
2025-06-21 12:51:28,063 | __main__ | ERROR | run_web_app.py:148 | ❌ Failed to start application: cannot import name 'get_logger' from 'pynucleus.utils.logger' (/Users/mohammadalmusaiteer/PyNucleus-Model/src/pynucleus/utils/logger.py)
2025-06-21 12:51:28,063 | __main__ | WARNING | run_web_app.py:201 | ⚠️ Application failed, restart attempt 10
2025-06-21 12:51:28,063 | __main__ | INFO | run_web_app.py:41 | Cleaning up application resources...
2025-06-21 12:51:28,332 | __main__ | INFO | run_web_app.py:55 | Resource cleanup completed
2025-06-21 12:51:28,332 | __main__ | ERROR | run_web_app.py:162 | ❌ Maximum restart attempts (10) exceeded
2025-06-21 12:51:28,332 | __main__ | INFO | run_web_app.py:224 | 🛑 PyNucleus Stable Web App Runner Stopped
2025-06-21 12:51:28,333 | pynucleus.api.app | INFO | app.py:51 | Cleaning up application resources...
2025-06-21 12:51:28,451 | pynucleus.api.app | INFO | app.py:55 | Resource cleanup completed
