2025-06-18 15:37:06,934 | __main__ | INFO | run_pipeline.py:416 | 🚀 Starting RAG query
2025-06-18 15:37:06,934 | __main__ | INFO | run_pipeline.py:417 | ❓ Question: How do distillation columns work?
2025-06-18 15:37:06,934 | __main__ | INFO | run_pipeline.py:418 | 🤖 Model ID: Default
2025-06-18 15:37:06,934 | __main__ | INFO | run_pipeline.py:419 | 📊 Top K: 3
2025-06-18 15:37:09,111 | pynucleus.rag.vector_store | INFO | vector_store.py:327 | Found FAISS directory: data/04_models/chunk_reports/pynucleus_mcp.faiss
2025-06-18 15:37:09,126 | sentence_transformers.SentenceTransformer | INFO | SentenceTransformer.py:211 | Use pytorch device_name: mps
2025-06-18 15:37:09,126 | sentence_transformers.SentenceTransformer | INFO | SentenceTransformer.py:219 | Load pretrained SentenceTransformer: all-MiniLM-L6-v2
2025-06-18 15:37:10,502 | sentence_transformers.SentenceTransformer | INFO | SentenceTransformer.py:211 | Use pytorch device_name: mps
2025-06-18 15:37:10,503 | sentence_transformers.SentenceTransformer | INFO | SentenceTransformer.py:219 | Load pretrained SentenceTransformer: all-MiniLM-L6-v2
2025-06-18 15:37:11,391 | faiss.loader | INFO | loader.py:148 | Loading faiss.
2025-06-18 15:37:11,433 | faiss.loader | INFO | loader.py:150 | Successfully loaded faiss.
2025-06-18 15:37:11,436 | faiss | INFO | __init__.py:174 | Failed to load GPU Faiss: name 'GpuIndexIVFFlat' is not defined. Will not load constructor refs for GPU indexes. This is only an error if you're trying to use GPU Faiss.
2025-06-18 15:37:11,462 | pynucleus.rag.vector_store | INFO | vector_store.py:349 | Successfully loaded FAISS index from data/04_models/chunk_reports/pynucleus_mcp.faiss
2025-06-18 15:37:11,463 | pynucleus.rag.vector_store | INFO | vector_store.py:354 | FAISS index contains 7141 vectors
2025-06-18 15:37:11,463 | pynucleus.pipeline.pipeline_rag | INFO | pipeline_rag.py:32 | Real FAISS vector store initialized successfully
2025-06-18 15:37:11,463 | __main__ | INFO | run_pipeline.py:426 | 🔄 Processing question...
2025-06-18 15:37:11,557 | pynucleus.rag.vector_store | INFO | vector_store.py:404 | FAISS search for 'How do distillation columns work?...' returned 3 results
2025-06-18 15:37:11,557 | pynucleus.pipeline.pipeline_rag | INFO | pipeline_rag.py:97 | RAG query processed: How do distillation columns work?...
2025-06-18 15:37:11,557 | __main__ | INFO | run_pipeline.py:465 | ✅ Question processed successfully
