2025-06-21 16:48:22,402 | __main__ | INFO | run_web_app.py:134 | PyNucleus web application starting
2025-06-21 16:48:22,441 | werkzeug | INFO | _internal.py:97 | [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:5001
 * Running on http://192.168.1.43:5001
2025-06-21 16:48:22,441 | werkzeug | INFO | _internal.py:97 | [33mPress CTRL+C to quit[0m
2025-06-21 16:48:43,392 | werkzeug | INFO | _internal.py:97 | 127.0.0.1 - - [21/Jun/2025 16:48:43] "[36mGET / HTTP/1.1[0m" 304 -
2025-06-21 16:48:49,063 | pynucleus.api.app | INFO | app.py:289 | Processing question: what is modular plants? ...
2025-06-21 16:48:49,164 | pynucleus.rag.vector_store | INFO | vector_store.py:601 | ChromaDB client initialized successfully in vector store
2025-06-21 16:48:49,164 | pynucleus.rag.vector_store | INFO | vector_store.py:630 | Loaded existing ChromaDB collection: pynucleus_documents
2025-06-21 16:48:49,266 | pynucleus.rag.vector_store | INFO | vector_store.py:635 | ChromaDB collection contains 3763 documents
2025-06-21 16:48:49,433 | pynucleus.rag.vector_store | INFO | vector_store.py:712 | ChromaDB search for 'what is modular plants? ...' returned 5 results
2025-06-21 16:48:49,433 | pynucleus | INFO | engine.py:202 | Retrieved 5 documents for question: 'what is modular plants? ...'
2025-06-21 16:48:49,434 | pynucleus | INFO | model_loader.py:80 | Generate called with prompt length: 2432, max_tokens: 400
2025-06-21 16:49:04,115 | pynucleus.api.app | INFO | app.py:336 | Question processed successfully in 15.05s
2025-06-21 16:49:04,116 | werkzeug | INFO | _internal.py:97 | 127.0.0.1 - - [21/Jun/2025 16:49:04] "POST /ask HTTP/1.1" 200 -
2025-06-21 16:49:11,943 | pynucleus.api.app | INFO | app.py:626 | Generating system statistics
2025-06-21 16:49:11,949 | pynucleus.rag.vector_store | INFO | vector_store.py:601 | ChromaDB client initialized successfully in vector store
2025-06-21 16:49:11,950 | pynucleus.rag.vector_store | INFO | vector_store.py:630 | Loaded existing ChromaDB collection: pynucleus_documents
2025-06-21 16:49:11,952 | pynucleus.rag.vector_store | INFO | vector_store.py:635 | ChromaDB collection contains 3763 documents
2025-06-21 16:49:12,986 | werkzeug | INFO | _internal.py:97 | 127.0.0.1 - - [21/Jun/2025 16:49:12] "GET /system_statistics HTTP/1.1" 200 -
2025-06-21 16:49:26,176 | pynucleus.api.app | INFO | app.py:599 | Running comprehensive system diagnostic
2025-06-21 16:49:40,318 | pynucleus.api.app | INFO | app.py:113 | Health check requested
2025-06-21 16:49:40,457 | pynucleus.rag.vector_store | INFO | vector_store.py:712 | ChromaDB search for 'test...' returned 5 results
2025-06-21 16:49:40,457 | pynucleus | INFO | engine.py:202 | Retrieved 5 documents for question: 'test...'
2025-06-21 16:49:40,457 | pynucleus | INFO | model_loader.py:80 | Generate called with prompt length: 813, max_tokens: 400
2025-06-21 16:49:45,333 | pynucleus.api.app | INFO | app.py:614 | Comprehensive diagnostic completed with return code 0
2025-06-21 16:49:45,334 | werkzeug | INFO | _internal.py:97 | 127.0.0.1 - - [21/Jun/2025 16:49:45] "GET /comprehensive_diagnostic HTTP/1.1" 200 -
2025-06-21 16:49:51,930 | pynucleus.api.app | INFO | app.py:570 | Running system diagnostic
2025-06-21 16:49:56,652 | pynucleus.rag.vector_store | INFO | vector_store.py:601 | ChromaDB client initialized successfully in vector store
2025-06-21 16:49:56,652 | pynucleus.rag.vector_store | INFO | vector_store.py:630 | Loaded existing ChromaDB collection: pynucleus_documents
2025-06-21 16:49:56,654 | pynucleus.rag.vector_store | INFO | vector_store.py:635 | ChromaDB collection contains 3763 documents
2025-06-21 16:49:56,654 | werkzeug | INFO | _internal.py:97 | 127.0.0.1 - - [21/Jun/2025 16:49:56] "GET /health HTTP/1.1" 200 -
2025-06-21 16:53:42,467 | pynucleus.api.app | INFO | app.py:113 | Health check requested
2025-06-21 16:53:42,581 | pynucleus.rag.vector_store | INFO | vector_store.py:712 | ChromaDB search for 'test...' returned 5 results
2025-06-21 16:53:42,581 | pynucleus | INFO | engine.py:202 | Retrieved 5 documents for question: 'test...'
2025-06-21 16:53:42,581 | pynucleus | INFO | model_loader.py:80 | Generate called with prompt length: 813, max_tokens: 400
2025-06-21 16:53:48,710 | pynucleus.api.app | INFO | app.py:585 | System diagnostic completed with return code 0
2025-06-21 16:53:48,711 | werkzeug | INFO | _internal.py:97 | 127.0.0.1 - - [21/Jun/2025 16:53:48] "GET /system_diagnostic HTTP/1.1" 200 -
2025-06-21 16:53:57,631 | pynucleus.rag.vector_store | INFO | vector_store.py:601 | ChromaDB client initialized successfully in vector store
2025-06-21 16:53:57,631 | pynucleus.rag.vector_store | INFO | vector_store.py:630 | Loaded existing ChromaDB collection: pynucleus_documents
2025-06-21 16:53:57,641 | pynucleus.rag.vector_store | INFO | vector_store.py:635 | ChromaDB collection contains 3763 documents
2025-06-21 16:53:57,641 | werkzeug | INFO | _internal.py:97 | 127.0.0.1 - - [21/Jun/2025 16:53:57] "GET /health HTTP/1.1" 200 -
