2025-06-30 14:38:47,530 | httpx | INFO | _client.py:1025 | HTTP Request: GET https://raw.githubusercontent.com/BerriAI/litellm/main/model_prices_and_context_window.json "HTTP/1.1 200 OK"
2025-06-30 14:38:47,958 | test_module | INFO | app.py:112 | Redis distributed cache initialized
2025-06-30 14:38:47,959 | test_module | INFO | app.py:86 | PyNucleus Flask API starting up (Instance: api-default)...
2025-06-30 14:38:47,964 | src.pynucleus.api.app | INFO | app.py:112 | Redis distributed cache initialized
2025-06-30 14:38:47,965 | src.pynucleus.api.app | INFO | app.py:86 | PyNucleus Flask API starting up (Instance: api-default)...
2025-06-30 14:38:47,965 | src.pynucleus.api.app | INFO | app.py:112 | Redis distributed cache initialized
2025-06-30 14:38:47,966 | src.pynucleus.api.app | INFO | app.py:86 | PyNucleus Flask API starting up (Instance: api-default)...
2025-06-30 14:38:48,775 | test_module | INFO | cache_integration.py:39 | Redis cache initialized: redis://localhost:6379/0
2025-06-30 14:38:48,854 | pynucleus.data.mock_data_manager | INFO | mock_data_manager.py:46 | Loaded mock data from configs/mock_data_config.json
2025-06-30 14:38:48,854 | pynucleus.data.mock_data_manager | INFO | mock_data_manager.py:47 | Available: 22 plant templates, 5 technical documents
2025-06-30 14:38:48,878 | pynucleus.rag.vector_store | INFO | vector_store.py:601 | ChromaDB client initialized successfully in vector store
2025-06-30 14:38:48,879 | pynucleus.rag.vector_store | INFO | vector_store.py:632 | Loaded existing ChromaDB collection: pynucleus_documents
2025-06-30 14:38:48,899 | pynucleus.rag.vector_store | INFO | vector_store.py:637 | ChromaDB collection contains 3772 documents
2025-06-30 14:38:48,899 | pynucleus.pipeline.pipeline_rag | INFO | pipeline_rag.py:41 | Vector store (chroma) initialized successfully
2025-06-30 14:38:48,903 | pynucleus | INFO | engine.py:58 | ChromaDB collection initialized successfully
2025-06-30 14:38:48,903 | pynucleus.pipeline.pipeline_rag | INFO | pipeline_rag.py:77 | ChromaDB collection contains 3772 documents
2025-06-30 14:38:48,939 | pynucleus | INFO | model_loader.py:32 | ModelLoader singleton initialized
2025-06-30 14:38:56,299 | pynucleus.rag.vector_store | INFO | vector_store.py:601 | ChromaDB client initialized successfully in vector store
2025-06-30 14:38:56,300 | pynucleus.rag.vector_store | INFO | vector_store.py:632 | Loaded existing ChromaDB collection: pynucleus_documents
2025-06-30 14:38:56,316 | pynucleus.rag.vector_store | INFO | vector_store.py:637 | ChromaDB collection contains 3772 documents
2025-06-30 14:38:56,316 | pynucleus.pipeline.pipeline_rag | INFO | pipeline_rag.py:41 | Vector store (chroma) initialized successfully
2025-06-30 14:38:56,317 | pynucleus | INFO | engine.py:58 | ChromaDB collection initialized successfully
2025-06-30 14:38:56,317 | pynucleus.pipeline.pipeline_rag | INFO | pipeline_rag.py:77 | ChromaDB collection contains 3772 documents
2025-06-30 14:38:56,349 | pynucleus.rag.vector_store | INFO | vector_store.py:363 | No existing FAISS directories found
2025-06-30 14:38:56,349 | pynucleus.pipeline.pipeline_utils | INFO | pipeline_utils.py:42 | Pipeline components initialized successfully
2025-06-30 14:38:56,349 | pynucleus.pipeline.pipeline_utils | WARNING | pipeline_utils.py:46 | FAISS vector store not loaded - using fallback mode
2025-06-30 14:38:56,352 | pynucleus.rag.vector_store | INFO | vector_store.py:601 | ChromaDB client initialized successfully in vector store
2025-06-30 14:38:56,352 | pynucleus.rag.vector_store | INFO | vector_store.py:632 | Loaded existing ChromaDB collection: pynucleus_documents
2025-06-30 14:38:56,352 | pynucleus.rag.vector_store | INFO | vector_store.py:637 | ChromaDB collection contains 3772 documents
2025-06-30 14:38:56,352 | pynucleus.pipeline.pipeline_rag | INFO | pipeline_rag.py:41 | Vector store (chroma) initialized successfully
2025-06-30 14:38:56,352 | pynucleus | INFO | engine.py:58 | ChromaDB collection initialized successfully
2025-06-30 14:38:56,353 | pynucleus.pipeline.pipeline_rag | INFO | pipeline_rag.py:77 | ChromaDB collection contains 3772 documents
2025-06-30 14:38:56,354 | pynucleus.integration.llm_output_generator | INFO | llm_output_generator.py:21 | Using direct content generation (templates migrated to DSPy)
2025-06-30 14:38:56,355 | pynucleus.rag.vector_store | INFO | vector_store.py:601 | ChromaDB client initialized successfully in vector store
2025-06-30 14:38:56,355 | pynucleus.rag.vector_store | INFO | vector_store.py:632 | Loaded existing ChromaDB collection: pynucleus_documents
2025-06-30 14:38:56,355 | pynucleus.rag.vector_store | INFO | vector_store.py:637 | ChromaDB collection contains 3772 documents
2025-06-30 14:38:56,361 | src.pynucleus.api.app | INFO | app.py:389 | Cleaning up application resources...
2025-06-30 14:38:56,362 | src.pynucleus.api.app | INFO | app.py:391 | Resource cleanup completed
2025-06-30 14:38:56,362 | src.pynucleus.api.app | INFO | app.py:389 | Cleaning up application resources...
2025-06-30 14:38:56,362 | src.pynucleus.api.app | INFO | app.py:391 | Resource cleanup completed
2025-06-30 14:38:56,362 | test_module | INFO | app.py:389 | Cleaning up application resources...
2025-06-30 14:38:56,362 | test_module | INFO | app.py:391 | Resource cleanup completed
2025-06-30 14:38:56,362 | pynucleus.api.app | INFO | app.py:389 | Cleaning up application resources...
2025-06-30 14:38:56,362 | pynucleus.api.app | INFO | app.py:391 | Resource cleanup completed
2025-06-30 14:38:56,362 | pynucleus.api.app | INFO | app.py:389 | Cleaning up application resources...
2025-06-30 14:38:56,362 | pynucleus.api.app | INFO | app.py:391 | Resource cleanup completed
