2025-06-21 13:34:27,616 | __main__ | INFO | run_web_app.py:134 | PyNucleus web application starting
2025-06-21 13:34:27,650 | werkzeug | INFO | _internal.py:97 | [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:5001
 * Running on http://192.168.85.81:5001
2025-06-21 13:34:27,650 | werkzeug | INFO | _internal.py:97 | [33mPress CTRL+C to quit[0m
2025-06-21 13:34:48,332 | pynucleus.api.app | INFO | app.py:601 | Generating system statistics
2025-06-21 13:34:48,391 | pynucleus.rag.vector_store | INFO | vector_store.py:601 | ChromaDB client initialized successfully in vector store
2025-06-21 13:34:48,391 | pynucleus.rag.vector_store | INFO | vector_store.py:630 | Loaded existing ChromaDB collection: pynucleus_documents
2025-06-21 13:34:48,462 | pynucleus.rag.vector_store | INFO | vector_store.py:635 | ChromaDB collection contains 3591 documents
2025-06-21 13:34:49,468 | werkzeug | INFO | _internal.py:97 | 127.0.0.1 - - [21/Jun/2025 13:34:49] "GET /system_statistics HTTP/1.1" 200 -
2025-06-21 13:35:42,596 | werkzeug | INFO | _internal.py:97 | 127.0.0.1 - - [21/Jun/2025 13:35:42] "[36mGET / HTTP/1.1[0m" 304 -
2025-06-21 13:36:42,244 | pynucleus.api.app | INFO | app.py:289 | Processing question: what modular plants? ...
2025-06-21 13:36:42,249 | pynucleus.rag.vector_store | INFO | vector_store.py:601 | ChromaDB client initialized successfully in vector store
2025-06-21 13:36:42,254 | pynucleus.rag.vector_store | INFO | vector_store.py:630 | Loaded existing ChromaDB collection: pynucleus_documents
2025-06-21 13:36:42,258 | pynucleus.rag.vector_store | INFO | vector_store.py:635 | ChromaDB collection contains 3591 documents
2025-06-21 13:36:42,479 | pynucleus.rag.vector_store | INFO | vector_store.py:712 | ChromaDB search for 'what modular plants? ...' returned 5 results
2025-06-21 13:36:42,479 | pynucleus | WARNING | model_loader.py:62 | Prompt truncated to 1500 characters
2025-06-21 13:36:42,921 | pynucleus | WARNING | model_loader.py:99 | Model generation failed: Empty or too short response. Using fallback.
2025-06-21 13:36:43,038 | pynucleus.api.app | INFO | app.py:334 | Question processed successfully in 0.79s
2025-06-21 13:36:43,038 | werkzeug | INFO | _internal.py:97 | 127.0.0.1 - - [21/Jun/2025 13:36:43] "POST /ask HTTP/1.1" 200 -
2025-06-21 13:37:11,223 | pynucleus.api.app | INFO | app.py:601 | Generating system statistics
2025-06-21 13:37:11,228 | pynucleus.rag.vector_store | INFO | vector_store.py:601 | ChromaDB client initialized successfully in vector store
2025-06-21 13:37:11,229 | pynucleus.rag.vector_store | INFO | vector_store.py:630 | Loaded existing ChromaDB collection: pynucleus_documents
2025-06-21 13:37:11,230 | pynucleus.rag.vector_store | INFO | vector_store.py:635 | ChromaDB collection contains 3591 documents
2025-06-21 13:37:12,248 | werkzeug | INFO | _internal.py:97 | 127.0.0.1 - - [21/Jun/2025 13:37:12] "GET /system_statistics HTTP/1.1" 200 -
2025-06-21 13:37:27,536 | pynucleus.api.app | INFO | app.py:429 | File uploaded to source_documents: GUIDELINES-REFINERY-AND-HYDROCARBON-PROCESSING-PLANTS.pdf
2025-06-21 13:37:27,540 | pynucleus | INFO | collector.py:64 | ChromaDB client initialized successfully in collector
2025-06-21 13:37:27,547 | sentence_transformers.SentenceTransformer | INFO | SentenceTransformer.py:211 | Use pytorch device_name: mps
2025-06-21 13:37:27,547 | sentence_transformers.SentenceTransformer | INFO | SentenceTransformer.py:219 | Load pretrained SentenceTransformer: all-MiniLM-L6-v2
2025-06-21 13:37:29,100 | pynucleus | INFO | collector.py:113 | Found 13 files to ingest from data/01_raw/source_documents
2025-06-21 13:37:29,101 | pynucleus | INFO | collector.py:114 |   - 1 .txt files
2025-06-21 13:37:29,101 | pynucleus | INFO | collector.py:115 |   - 12 .pdf files
2025-06-21 13:37:29,101 | pynucleus | INFO | collector.py:116 |   - 0 .md files
2025-06-21 13:37:29,105 | pynucleus.rag.document_processor | ERROR | document_processor.py:83 | Failed to process document data/01_raw/source_documents/The Landscape of Modular Chemical Plants in Africa- Opportunities, Challenges, and Strategic Imperatives for Industrialization.txt: sequence item 0: expected str instance, dict found
2025-06-21 13:37:29,105 | pynucleus | WARNING | collector.py:128 | Document processor failed for data/01_raw/source_documents/The Landscape of Modular Chemical Plants in Africa- Opportunities, Challenges, and Strategic Imperatives for Industrialization.txt: sequence item 0: expected str instance, dict found
2025-06-21 13:37:48,752 | pdfminer.pdfinterp | WARNING | pdfinterp.py:831 | Cannot set gray non-stroke color because /'P0' is an invalid float value
2025-06-21 13:37:48,754 | pdfminer.pdfinterp | WARNING | pdfinterp.py:831 | Cannot set gray non-stroke color because /'P0' is an invalid float value
2025-06-21 13:37:48,754 | pdfminer.pdfinterp | WARNING | pdfinterp.py:831 | Cannot set gray non-stroke color because /'P0' is an invalid float value
2025-06-21 13:37:48,754 | pdfminer.pdfinterp | WARNING | pdfinterp.py:831 | Cannot set gray non-stroke color because /'P0' is an invalid float value
2025-06-21 13:37:48,756 | pdfminer.pdfinterp | WARNING | pdfinterp.py:831 | Cannot set gray non-stroke color because /'P0' is an invalid float value
2025-06-21 13:38:14,264 | camelot | INFO | lattice.py:407 | Processing page-1
2025-06-21 13:38:14,285 | pynucleus.rag.document_processor | ERROR | document_processor.py:466 | Failed to extract tables from data/01_raw/source_documents/Engineering Economics and Economic Design for Process Engineers.pdf: Ghostscript is not installed. You can install it using the instructions here: https://camelot-py.readthedocs.io/en/master/user/install-deps.html
2025-06-21 13:38:15,554 | camelot | INFO | lattice.py:407 | Processing page-1
2025-06-21 13:38:15,555 | pynucleus.rag.document_processor | ERROR | document_processor.py:466 | Failed to extract tables from data/01_raw/source_documents/2007-petroleum-polymers-ehs-guidelines-en.pdf: Ghostscript is not installed. You can install it using the instructions here: https://camelot-py.readthedocs.io/en/master/user/install-deps.html
2025-06-21 13:38:15,720 | camelot | INFO | lattice.py:407 | Processing page-1
2025-06-21 13:38:15,720 | pynucleus.rag.document_processor | ERROR | document_processor.py:466 | Failed to extract tables from data/01_raw/source_documents/Process Simulation Specifications.pdf: Ghostscript is not installed. You can install it using the instructions here: https://camelot-py.readthedocs.io/en/master/user/install-deps.html
2025-06-21 13:38:16,114 | pdfminer.pdfinterp | WARNING | pdfinterp.py:831 | Cannot set gray non-stroke color because /'P0' is an invalid float value
2025-06-21 13:38:16,246 | pdfminer.pdfinterp | WARNING | pdfinterp.py:831 | Cannot set gray non-stroke color because /'P0' is an invalid float value
2025-06-21 13:38:16,413 | pdfminer.pdfinterp | WARNING | pdfinterp.py:831 | Cannot set gray non-stroke color because /'P0' is an invalid float value
2025-06-21 13:38:16,624 | pdfminer.pdfinterp | WARNING | pdfinterp.py:831 | Cannot set gray non-stroke color because /'P0' is an invalid float value
2025-06-21 13:38:16,700 | pdfminer.pdfinterp | WARNING | pdfinterp.py:831 | Cannot set gray non-stroke color because /'P0' is an invalid float value
2025-06-21 13:38:17,324 | pdfminer.pdfinterp | WARNING | pdfinterp.py:831 | Cannot set gray non-stroke color because /'P0' is an invalid float value
2025-06-21 13:38:17,427 | pdfminer.pdfinterp | WARNING | pdfinterp.py:831 | Cannot set gray non-stroke color because /'P0' is an invalid float value
2025-06-21 13:38:17,502 | pdfminer.pdfinterp | WARNING | pdfinterp.py:831 | Cannot set gray non-stroke color because /'P0' is an invalid float value
2025-06-21 13:38:18,084 | pdfminer.pdfinterp | WARNING | pdfinterp.py:831 | Cannot set gray non-stroke color because /'P0' is an invalid float value
2025-06-21 13:38:18,243 | pdfminer.pdfinterp | WARNING | pdfinterp.py:831 | Cannot set gray non-stroke color because /'P0' is an invalid float value
2025-06-21 13:38:19,325 | pdfminer.pdfinterp | WARNING | pdfinterp.py:831 | Cannot set gray non-stroke color because /'P0' is an invalid float value
2025-06-21 13:38:19,731 | pdfminer.pdfinterp | WARNING | pdfinterp.py:831 | Cannot set gray non-stroke color because /'P0' is an invalid float value
2025-06-21 13:38:20,134 | pdfminer.pdfinterp | WARNING | pdfinterp.py:831 | Cannot set gray non-stroke color because /'P0' is an invalid float value
2025-06-21 13:38:20,499 | werkzeug | INFO | _internal.py:97 | 127.0.0.1 - - [21/Jun/2025 13:38:20] "GET / HTTP/1.1" 200 -
2025-06-21 13:38:20,865 | pdfminer.pdfinterp | WARNING | pdfinterp.py:831 | Cannot set gray non-stroke color because /'P0' is an invalid float value
2025-06-21 13:38:20,963 | pdfminer.pdfinterp | WARNING | pdfinterp.py:831 | Cannot set gray non-stroke color because /'P0' is an invalid float value
2025-06-21 13:38:21,046 | pdfminer.pdfinterp | WARNING | pdfinterp.py:831 | Cannot set gray non-stroke color because /'P0' is an invalid float value
2025-06-21 13:38:21,943 | pdfminer.pdfinterp | WARNING | pdfinterp.py:831 | Cannot set gray non-stroke color because /'P0' is an invalid float value
2025-06-21 13:38:21,947 | pdfminer.pdfinterp | WARNING | pdfinterp.py:831 | Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-06-21 13:38:22,475 | pdfminer.pdfinterp | WARNING | pdfinterp.py:831 | Cannot set gray non-stroke color because /'P0' is an invalid float value
2025-06-21 13:38:23,090 | pdfminer.pdfinterp | WARNING | pdfinterp.py:831 | Cannot set gray non-stroke color because /'P0' is an invalid float value
2025-06-21 13:38:23,093 | pdfminer.pdfinterp | WARNING | pdfinterp.py:831 | Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-06-21 13:38:23,220 | pdfminer.pdfinterp | WARNING | pdfinterp.py:831 | Cannot set gray non-stroke color because /'P0' is an invalid float value
2025-06-21 13:38:23,221 | pdfminer.pdfinterp | WARNING | pdfinterp.py:831 | Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-06-21 13:38:23,586 | pdfminer.pdfinterp | WARNING | pdfinterp.py:831 | Cannot set gray non-stroke color because /'P0' is an invalid float value
2025-06-21 13:38:23,716 | pdfminer.pdfinterp | WARNING | pdfinterp.py:831 | Cannot set gray non-stroke color because /'P0' is an invalid float value
2025-06-21 13:38:23,716 | pdfminer.pdfinterp | WARNING | pdfinterp.py:831 | Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-06-21 13:38:23,917 | pdfminer.pdfinterp | WARNING | pdfinterp.py:831 | Cannot set gray non-stroke color because /'P0' is an invalid float value
2025-06-21 13:38:23,921 | pdfminer.pdfinterp | WARNING | pdfinterp.py:831 | Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-06-21 13:38:23,928 | pdfminer.pdfinterp | WARNING | pdfinterp.py:831 | Cannot set gray non-stroke color because /'P2' is an invalid float value
2025-06-21 13:38:23,929 | pdfminer.pdfinterp | WARNING | pdfinterp.py:831 | Cannot set gray non-stroke color because /'P3' is an invalid float value
2025-06-21 13:38:24,456 | pdfminer.pdfinterp | WARNING | pdfinterp.py:831 | Cannot set gray non-stroke color because /'P0' is an invalid float value
2025-06-21 13:38:24,568 | pdfminer.pdfinterp | WARNING | pdfinterp.py:831 | Cannot set gray non-stroke color because /'P0' is an invalid float value
2025-06-21 13:38:24,664 | pdfminer.pdfinterp | WARNING | pdfinterp.py:831 | Cannot set gray non-stroke color because /'P0' is an invalid float value
2025-06-21 13:38:24,666 | pdfminer.pdfinterp | WARNING | pdfinterp.py:831 | Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-06-21 13:38:24,783 | pdfminer.pdfinterp | WARNING | pdfinterp.py:831 | Cannot set gray non-stroke color because /'P0' is an invalid float value
2025-06-21 13:38:24,795 | pdfminer.pdfinterp | WARNING | pdfinterp.py:831 | Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-06-21 13:38:25,044 | pdfminer.pdfinterp | WARNING | pdfinterp.py:831 | Cannot set gray non-stroke color because /'P0' is an invalid float value
2025-06-21 13:38:25,552 | pdfminer.pdfinterp | WARNING | pdfinterp.py:831 | Cannot set gray non-stroke color because /'P0' is an invalid float value
2025-06-21 13:38:25,890 | pdfminer.pdfinterp | WARNING | pdfinterp.py:831 | Cannot set gray non-stroke color because /'P0' is an invalid float value
2025-06-21 13:38:25,890 | pdfminer.pdfinterp | WARNING | pdfinterp.py:831 | Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-06-21 13:38:25,891 | pdfminer.pdfinterp | WARNING | pdfinterp.py:831 | Cannot set gray non-stroke color because /'P2' is an invalid float value
2025-06-21 13:38:25,891 | pdfminer.pdfinterp | WARNING | pdfinterp.py:831 | Cannot set gray non-stroke color because /'P3' is an invalid float value
2025-06-21 13:38:25,892 | pdfminer.pdfinterp | WARNING | pdfinterp.py:831 | Cannot set gray non-stroke color because /'P4' is an invalid float value
2025-06-21 13:38:25,893 | pdfminer.pdfinterp | WARNING | pdfinterp.py:831 | Cannot set gray non-stroke color because /'P5' is an invalid float value
2025-06-21 13:38:26,160 | pdfminer.pdfinterp | WARNING | pdfinterp.py:831 | Cannot set gray non-stroke color because /'P0' is an invalid float value
2025-06-21 13:38:26,160 | pdfminer.pdfinterp | WARNING | pdfinterp.py:831 | Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-06-21 13:38:26,781 | pdfminer.pdfinterp | WARNING | pdfinterp.py:831 | Cannot set gray non-stroke color because /'P0' is an invalid float value
2025-06-21 13:38:27,497 | pdfminer.pdfinterp | WARNING | pdfinterp.py:831 | Cannot set gray non-stroke color because /'P0' is an invalid float value
2025-06-21 13:38:27,499 | pdfminer.pdfinterp | WARNING | pdfinterp.py:831 | Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-06-21 13:38:27,500 | pdfminer.pdfinterp | WARNING | pdfinterp.py:831 | Cannot set gray non-stroke color because /'P2' is an invalid float value
2025-06-21 13:38:28,983 | pdfminer.pdfinterp | WARNING | pdfinterp.py:831 | Cannot set gray non-stroke color because /'P0' is an invalid float value
2025-06-21 13:38:28,983 | pdfminer.pdfinterp | WARNING | pdfinterp.py:831 | Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-06-21 13:38:29,789 | pdfminer.pdfinterp | WARNING | pdfinterp.py:831 | Cannot set gray non-stroke color because /'P0' is an invalid float value
2025-06-21 13:38:30,398 | pdfminer.pdfinterp | WARNING | pdfinterp.py:831 | Cannot set gray non-stroke color because /'P0' is an invalid float value
2025-06-21 13:38:30,834 | pdfminer.pdfinterp | WARNING | pdfinterp.py:831 | Cannot set gray non-stroke color because /'P0' is an invalid float value
2025-06-21 13:38:31,123 | pdfminer.pdfinterp | WARNING | pdfinterp.py:831 | Cannot set gray non-stroke color because /'P0' is an invalid float value
2025-06-21 13:38:31,127 | pdfminer.pdfinterp | WARNING | pdfinterp.py:831 | Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-06-21 13:38:31,447 | pdfminer.pdfinterp | WARNING | pdfinterp.py:831 | Cannot set gray non-stroke color because /'P0' is an invalid float value
2025-06-21 13:38:32,507 | pdfminer.pdfinterp | WARNING | pdfinterp.py:831 | Cannot set gray non-stroke color because /'P0' is an invalid float value
2025-06-21 13:38:32,512 | pdfminer.pdfinterp | WARNING | pdfinterp.py:831 | Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-06-21 13:38:32,836 | pdfminer.pdfinterp | WARNING | pdfinterp.py:831 | Cannot set gray non-stroke color because /'P0' is an invalid float value
2025-06-21 13:38:32,839 | pdfminer.pdfinterp | WARNING | pdfinterp.py:831 | Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-06-21 13:38:32,950 | pdfminer.pdfinterp | WARNING | pdfinterp.py:831 | Cannot set gray non-stroke color because /'P0' is an invalid float value
2025-06-21 13:38:33,037 | pdfminer.pdfinterp | WARNING | pdfinterp.py:831 | Cannot set gray non-stroke color because /'P0' is an invalid float value
2025-06-21 13:38:33,566 | pdfminer.pdfinterp | WARNING | pdfinterp.py:831 | Cannot set gray non-stroke color because /'P0' is an invalid float value
2025-06-21 13:38:34,947 | pynucleus.api.app | INFO | app.py:429 | File uploaded to source_documents: industrialization-for-an-emerging-africa-issuespaper.pdf
2025-06-21 13:38:34,950 | pynucleus | INFO | collector.py:64 | ChromaDB client initialized successfully in collector
2025-06-21 13:38:34,968 | sentence_transformers.SentenceTransformer | INFO | SentenceTransformer.py:211 | Use pytorch device_name: mps
2025-06-21 13:38:34,974 | sentence_transformers.SentenceTransformer | INFO | SentenceTransformer.py:219 | Load pretrained SentenceTransformer: all-MiniLM-L6-v2
2025-06-21 13:38:35,483 | pdfminer.pdfinterp | WARNING | pdfinterp.py:831 | Cannot set gray non-stroke color because /'P0' is an invalid float value
2025-06-21 13:38:35,485 | pdfminer.pdfinterp | WARNING | pdfinterp.py:831 | Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-06-21 13:38:35,891 | pdfminer.pdfinterp | WARNING | pdfinterp.py:831 | Cannot set gray non-stroke color because /'P0' is an invalid float value
2025-06-21 13:38:35,895 | pdfminer.pdfinterp | WARNING | pdfinterp.py:831 | Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-06-21 13:38:36,259 | pynucleus | INFO | collector.py:113 | Found 14 files to ingest from data/01_raw/source_documents
2025-06-21 13:38:36,259 | pynucleus | INFO | collector.py:114 |   - 1 .txt files
2025-06-21 13:38:36,259 | pynucleus | INFO | collector.py:115 |   - 13 .pdf files
2025-06-21 13:38:36,259 | pynucleus | INFO | collector.py:116 |   - 0 .md files
2025-06-21 13:38:36,262 | pynucleus.rag.document_processor | ERROR | document_processor.py:83 | Failed to process document data/01_raw/source_documents/The Landscape of Modular Chemical Plants in Africa- Opportunities, Challenges, and Strategic Imperatives for Industrialization.txt: sequence item 0: expected str instance, dict found
2025-06-21 13:38:36,262 | pynucleus | WARNING | collector.py:128 | Document processor failed for data/01_raw/source_documents/The Landscape of Modular Chemical Plants in Africa- Opportunities, Challenges, and Strategic Imperatives for Industrialization.txt: sequence item 0: expected str instance, dict found
2025-06-21 13:38:36,685 | pdfminer.pdfinterp | WARNING | pdfinterp.py:831 | Cannot set gray non-stroke color because /'P0' is an invalid float value
2025-06-21 13:38:37,528 | pdfminer.pdfinterp | WARNING | pdfinterp.py:831 | Cannot set gray non-stroke color because /'P0' is an invalid float value
2025-06-21 13:38:38,056 | pdfminer.pdfinterp | WARNING | pdfinterp.py:831 | Cannot set gray non-stroke color because /'P0' is an invalid float value
2025-06-21 13:38:38,061 | pdfminer.pdfinterp | WARNING | pdfinterp.py:831 | Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-06-21 13:38:38,252 | pdfminer.pdfinterp | WARNING | pdfinterp.py:831 | Cannot set gray non-stroke color because /'P0' is an invalid float value
2025-06-21 13:38:40,342 | pdfminer.pdfinterp | WARNING | pdfinterp.py:831 | Cannot set gray non-stroke color because /'P0' is an invalid float value
2025-06-21 13:38:40,342 | pdfminer.pdfinterp | WARNING | pdfinterp.py:831 | Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-06-21 13:38:41,506 | pdfminer.pdfinterp | WARNING | pdfinterp.py:831 | Cannot set gray non-stroke color because /'P0' is an invalid float value
2025-06-21 13:38:42,835 | pdfminer.pdfinterp | WARNING | pdfinterp.py:831 | Cannot set gray non-stroke color because /'P0' is an invalid float value
2025-06-21 13:38:42,836 | pdfminer.pdfinterp | WARNING | pdfinterp.py:831 | Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-06-21 13:38:43,394 | pdfminer.pdfinterp | WARNING | pdfinterp.py:831 | Cannot set gray non-stroke color because /'P0' is an invalid float value
2025-06-21 13:38:43,395 | pdfminer.pdfinterp | WARNING | pdfinterp.py:831 | Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-06-21 13:38:45,306 | pdfminer.pdfinterp | WARNING | pdfinterp.py:831 | Cannot set gray non-stroke color because /'P0' is an invalid float value
2025-06-21 13:38:45,307 | pdfminer.pdfinterp | WARNING | pdfinterp.py:831 | Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-06-21 13:38:45,799 | pdfminer.pdfinterp | WARNING | pdfinterp.py:831 | Cannot set gray non-stroke color because /'P0' is an invalid float value
2025-06-21 13:38:46,299 | pdfminer.pdfinterp | WARNING | pdfinterp.py:831 | Cannot set gray non-stroke color because /'P0' is an invalid float value
2025-06-21 13:38:46,871 | pdfminer.pdfinterp | WARNING | pdfinterp.py:831 | Cannot set gray non-stroke color because /'P0' is an invalid float value
2025-06-21 13:38:46,871 | pdfminer.pdfinterp | WARNING | pdfinterp.py:831 | Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-06-21 13:38:48,182 | pdfminer.pdfinterp | WARNING | pdfinterp.py:831 | Cannot set gray non-stroke color because /'P0' is an invalid float value
2025-06-21 13:38:49,614 | pdfminer.pdfinterp | WARNING | pdfinterp.py:831 | Cannot set gray non-stroke color because /'P0' is an invalid float value
2025-06-21 13:38:51,629 | pdfminer.pdfinterp | WARNING | pdfinterp.py:831 | Cannot set gray non-stroke color because /'P0' is an invalid float value
2025-06-21 13:38:53,012 | pdfminer.pdfinterp | WARNING | pdfinterp.py:831 | Cannot set gray non-stroke color because /'P0' is an invalid float value
2025-06-21 13:38:53,180 | pdfminer.pdfinterp | WARNING | pdfinterp.py:831 | Cannot set gray non-stroke color because /'P0' is an invalid float value
2025-06-21 13:38:54,499 | pdfminer.pdfinterp | WARNING | pdfinterp.py:831 | Cannot set gray non-stroke color because /'P0' is an invalid float value
2025-06-21 13:38:55,964 | pdfminer.pdfinterp | WARNING | pdfinterp.py:831 | Cannot set gray non-stroke color because /'P0' is an invalid float value
2025-06-21 13:38:55,966 | pdfminer.pdfinterp | WARNING | pdfinterp.py:831 | Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-06-21 13:38:55,968 | pdfminer.pdfinterp | WARNING | pdfinterp.py:831 | Cannot set gray non-stroke color because /'P2' is an invalid float value
2025-06-21 13:38:56,121 | pdfminer.pdfinterp | WARNING | pdfinterp.py:831 | Cannot set gray non-stroke color because /'P0' is an invalid float value
2025-06-21 13:38:56,124 | pdfminer.pdfinterp | WARNING | pdfinterp.py:831 | Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-06-21 13:38:56,128 | pdfminer.pdfinterp | WARNING | pdfinterp.py:831 | Cannot set gray non-stroke color because /'P2' is an invalid float value
2025-06-21 13:38:56,131 | pdfminer.pdfinterp | WARNING | pdfinterp.py:831 | Cannot set gray non-stroke color because /'P3' is an invalid float value
2025-06-21 13:38:56,832 | pdfminer.pdfinterp | WARNING | pdfinterp.py:831 | Cannot set gray non-stroke color because /'P0' is an invalid float value
