2025-06-23 13:35:47,177 | pynucleus.rag.vector_store | INFO | vector_store.py:601 | ChromaDB client initialized successfully in vector store
2025-06-23 13:35:47,177 | pynucleus.rag.vector_store | INFO | vector_store.py:632 | Loaded existing ChromaDB collection: pynucleus_documents
2025-06-23 13:35:47,181 | pynucleus.rag.vector_store | INFO | vector_store.py:637 | ChromaDB collection contains 3772 documents
2025-06-23 13:35:47,181 | pynucleus.pipeline.pipeline_rag | INFO | pipeline_rag.py:37 | Vector store (chroma) initialized successfully
2025-06-23 13:35:47,182 | pynucleus | INFO | engine.py:56 | ChromaDB collection initialized successfully
2025-06-23 13:35:47,182 | pynucleus.pipeline.pipeline_rag | INFO | pipeline_rag.py:73 | ChromaDB collection contains 3772 documents
2025-06-23 13:35:47,217 | pynucleus.rag.vector_store | INFO | vector_store.py:363 | No existing FAISS directories found
2025-06-23 13:35:47,217 | pynucleus.pipeline.pipeline_utils | INFO | pipeline_utils.py:42 | Pipeline components initialized successfully
2025-06-23 13:35:47,217 | pynucleus.pipeline.pipeline_utils | WARNING | pipeline_utils.py:46 | FAISS vector store not loaded - using fallback mode
2025-06-23 13:35:47,219 | pynucleus.rag.vector_store | INFO | vector_store.py:601 | ChromaDB client initialized successfully in vector store
2025-06-23 13:35:47,219 | pynucleus.rag.vector_store | INFO | vector_store.py:632 | Loaded existing ChromaDB collection: pynucleus_documents
2025-06-23 13:35:47,219 | pynucleus.rag.vector_store | INFO | vector_store.py:637 | ChromaDB collection contains 3772 documents
2025-06-23 13:35:47,220 | pynucleus.pipeline.pipeline_rag | INFO | pipeline_rag.py:37 | Vector store (chroma) initialized successfully
2025-06-23 13:35:47,220 | pynucleus | INFO | engine.py:56 | ChromaDB collection initialized successfully
2025-06-23 13:35:47,220 | pynucleus.pipeline.pipeline_rag | INFO | pipeline_rag.py:73 | ChromaDB collection contains 3772 documents
2025-06-23 13:35:47,221 | pynucleus.integration.llm_output_generator | INFO | llm_output_generator.py:21 | Using direct content generation (templates migrated to DSPy)
2025-06-23 13:35:47,223 | pynucleus.rag.vector_store | INFO | vector_store.py:601 | ChromaDB client initialized successfully in vector store
2025-06-23 13:35:47,223 | pynucleus.rag.vector_store | INFO | vector_store.py:632 | Loaded existing ChromaDB collection: pynucleus_documents
2025-06-23 13:35:47,223 | pynucleus.rag.vector_store | INFO | vector_store.py:637 | ChromaDB collection contains 3772 documents
2025-06-23 13:35:50,233 | pynucleus.api.app | INFO | app.py:82 | Cleaning up application resources...
2025-06-23 13:35:50,528 | pynucleus.api.app | INFO | app.py:86 | Resource cleanup completed
