2025-06-30 14:26:59,368 | pynucleus | INFO | model_loader.py:32 | ModelLoader singleton initialized
2025-06-30 14:26:59,368 | src.pynucleus.api.app | ERROR | app.py:76 | Failed to initialize RAG engine: [Errno 32] Broken pipe
2025-06-30 14:26:59,368 | src.pynucleus.api.app | ERROR | app.py:570 | Error in regular ask handling: 'NoneType' object is not subscriptable
2025-06-30 14:26:59,369 | src.pynucleus.api.app | ERROR | app.py:472 | Ask endpoint error: 'NoneType' object is not subscriptable
2025-06-30 14:26:59,369 | src.pynucleus.api.app | INFO | app.py:464 | Processing question: Principles of mass transfer... (stream: False)
2025-06-30 14:26:59,370 | pynucleus | INFO | model_loader.py:32 | ModelLoader singleton initialized
2025-06-30 14:26:59,370 | src.pynucleus.api.app | ERROR | app.py:76 | Failed to initialize RAG engine: [Errno 32] Broken pipe
2025-06-30 14:26:59,370 | src.pynucleus.api.app | ERROR | app.py:570 | Error in regular ask handling: 'NoneType' object is not subscriptable
2025-06-30 14:26:59,371 | src.pynucleus.api.app | WARNING | app.py:443 | Circuit breaker opened after 5 failures
2025-06-30 14:26:59,371 | src.pynucleus.api.app | ERROR | app.py:472 | Ask endpoint error: 'NoneType' object is not subscriptable
2025-06-30 14:26:59,371 | src.pynucleus.api.app | WARNING | app.py:443 | Circuit breaker opened after 6 failures
2025-06-30 14:26:59,410 | src.pynucleus.api.app | INFO | app.py:159 | Cleaning up application resources...
2025-06-30 14:26:59,511 | src.pynucleus.api.app | INFO | app.py:163 | Resource cleanup completed
2025-06-30 14:26:59,990 | src.pynucleus.api.app | INFO | app.py:464 | Processing question: Difference between absorption and adsorption?... (stream: False)
2025-06-30 14:27:00,172 | pynucleus | INFO | model_loader.py:32 | ModelLoader singleton initialized
2025-06-30 14:27:00,172 | src.pynucleus.api.app | ERROR | app.py:76 | Failed to initialize RAG engine: [Errno 32] Broken pipe
2025-06-30 14:27:00,173 | src.pynucleus.api.app | ERROR | app.py:570 | Error in regular ask handling: 'NoneType' object is not subscriptable
2025-06-30 14:27:00,173 | src.pynucleus.api.app | ERROR | app.py:472 | Ask endpoint error: 'NoneType' object is not subscriptable
2025-06-30 14:27:00,174 | src.pynucleus.api.app | INFO | app.py:464 | Processing question: Chemical reactor applications... (stream: False)
2025-06-30 14:27:00,175 | pynucleus | INFO | model_loader.py:32 | ModelLoader singleton initialized
2025-06-30 14:27:00,175 | src.pynucleus.api.app | ERROR | app.py:76 | Failed to initialize RAG engine: [Errno 32] Broken pipe
2025-06-30 14:27:00,175 | src.pynucleus.api.app | ERROR | app.py:570 | Error in regular ask handling: 'NoneType' object is not subscriptable
2025-06-30 14:27:00,175 | src.pynucleus.api.app | ERROR | app.py:472 | Ask endpoint error: 'NoneType' object is not subscriptable
2025-06-30 14:27:00,176 | src.pynucleus.api.app | INFO | app.py:464 | Processing question: Chemical reactor applications... (stream: False)
2025-06-30 14:27:00,177 | pynucleus | INFO | model_loader.py:32 | ModelLoader singleton initialized
2025-06-30 14:27:00,177 | src.pynucleus.api.app | ERROR | app.py:76 | Failed to initialize RAG engine: [Errno 32] Broken pipe
2025-06-30 14:27:00,177 | src.pynucleus.api.app | ERROR | app.py:570 | Error in regular ask handling: 'NoneType' object is not subscriptable
2025-06-30 14:27:00,177 | src.pynucleus.api.app | WARNING | app.py:443 | Circuit breaker opened after 5 failures
2025-06-30 14:27:00,178 | src.pynucleus.api.app | ERROR | app.py:472 | Ask endpoint error: 'NoneType' object is not subscriptable
