2025-06-30 17:47:20,689 | httpx | INFO | _client.py:1025 | HTTP Request: GET https://raw.githubusercontent.com/BerriAI/litellm/main/model_prices_and_context_window.json "HTTP/1.1 200 OK"
2025-06-30 17:47:21,001 | test_module | INFO | app.py:115 | Redis distributed cache initialized
2025-06-30 17:47:21,002 | test_module | INFO | app.py:89 | PyNucleus Flask API starting up (Instance: api-default)...
2025-06-30 17:47:21,004 | src.pynucleus.api.app | INFO | app.py:115 | Redis distributed cache initialized
2025-06-30 17:47:21,005 | src.pynucleus.api.app | INFO | app.py:89 | PyNucleus Flask API starting up (Instance: api-default)...
2025-06-30 17:47:21,005 | src.pynucleus.api.app | INFO | app.py:115 | Redis distributed cache initialized
2025-06-30 17:47:21,006 | src.pynucleus.api.app | INFO | app.py:89 | PyNucleus Flask API starting up (Instance: api-default)...
2025-06-30 17:47:21,021 | test_module | WARNING | cache_integration.py:41 | Redis unavailable, caching disabled: Error 61 connecting to localhost:6379. Connection refused.
2025-06-30 17:47:21,064 | pynucleus.data.mock_data_manager | INFO | mock_data_manager.py:46 | Loaded mock data from configs/mock_data_config.json
2025-06-30 17:47:21,064 | pynucleus.data.mock_data_manager | INFO | mock_data_manager.py:47 | Available: 22 plant templates, 5 technical documents
2025-06-30 17:47:21,084 | pynucleus.rag.vector_store | INFO | vector_store.py:601 | ChromaDB client initialized successfully in vector store
2025-06-30 17:47:21,084 | pynucleus.rag.vector_store | INFO | vector_store.py:632 | Loaded existing ChromaDB collection: pynucleus_documents
2025-06-30 17:47:21,099 | pynucleus.rag.vector_store | INFO | vector_store.py:637 | ChromaDB collection contains 3772 documents
2025-06-30 17:47:21,099 | pynucleus.pipeline.pipeline_rag | INFO | pipeline_rag.py:41 | Vector store (chroma) initialized successfully
2025-06-30 17:47:21,102 | pynucleus | INFO | engine.py:78 | ChromaDB collection initialized successfully
2025-06-30 17:47:21,103 | pynucleus.pipeline.pipeline_rag | INFO | pipeline_rag.py:77 | ChromaDB collection contains 3772 documents
2025-06-30 17:47:21,118 | pynucleus | INFO | model_loader.py:32 | ModelLoader singleton initialized
2025-06-30 17:47:34,941 | pynucleus.rag.vector_store | INFO | vector_store.py:601 | ChromaDB client initialized successfully in vector store
2025-06-30 17:47:34,944 | pynucleus.rag.vector_store | INFO | vector_store.py:632 | Loaded existing ChromaDB collection: pynucleus_documents
2025-06-30 17:47:35,023 | pynucleus.rag.vector_store | INFO | vector_store.py:637 | ChromaDB collection contains 3772 documents
2025-06-30 17:47:35,023 | pynucleus.pipeline.pipeline_rag | INFO | pipeline_rag.py:41 | Vector store (chroma) initialized successfully
2025-06-30 17:47:35,024 | pynucleus | INFO | engine.py:78 | ChromaDB collection initialized successfully
2025-06-30 17:47:35,024 | pynucleus.pipeline.pipeline_rag | INFO | pipeline_rag.py:77 | ChromaDB collection contains 3772 documents
2025-06-30 17:47:35,046 | pynucleus.rag.vector_store | INFO | vector_store.py:363 | No existing FAISS directories found
2025-06-30 17:47:35,046 | pynucleus.pipeline.pipeline_utils | INFO | pipeline_utils.py:42 | Pipeline components initialized successfully
2025-06-30 17:47:35,046 | pynucleus.pipeline.pipeline_utils | WARNING | pipeline_utils.py:46 | FAISS vector store not loaded - using fallback mode
2025-06-30 17:47:35,047 | pynucleus.rag.vector_store | INFO | vector_store.py:601 | ChromaDB client initialized successfully in vector store
2025-06-30 17:47:35,047 | pynucleus.rag.vector_store | INFO | vector_store.py:632 | Loaded existing ChromaDB collection: pynucleus_documents
2025-06-30 17:47:35,047 | pynucleus.rag.vector_store | INFO | vector_store.py:637 | ChromaDB collection contains 3772 documents
2025-06-30 17:47:35,047 | pynucleus.pipeline.pipeline_rag | INFO | pipeline_rag.py:41 | Vector store (chroma) initialized successfully
2025-06-30 17:47:35,048 | pynucleus | INFO | engine.py:78 | ChromaDB collection initialized successfully
2025-06-30 17:47:35,048 | pynucleus.pipeline.pipeline_rag | INFO | pipeline_rag.py:77 | ChromaDB collection contains 3772 documents
2025-06-30 17:47:35,049 | pynucleus.integration.llm_output_generator | INFO | llm_output_generator.py:21 | Using direct content generation (templates migrated to DSPy)
2025-06-30 17:47:35,050 | pynucleus.rag.vector_store | INFO | vector_store.py:601 | ChromaDB client initialized successfully in vector store
2025-06-30 17:47:35,050 | pynucleus.rag.vector_store | INFO | vector_store.py:632 | Loaded existing ChromaDB collection: pynucleus_documents
2025-06-30 17:47:35,050 | pynucleus.rag.vector_store | INFO | vector_store.py:637 | ChromaDB collection contains 3772 documents
2025-06-30 17:47:35,054 | src.pynucleus.api.app | INFO | app.py:574 | Cleaning up application resources...
2025-06-30 17:47:35,054 | src.pynucleus.api.app | INFO | app.py:576 | Resource cleanup completed
2025-06-30 17:47:35,054 | src.pynucleus.api.app | INFO | app.py:574 | Cleaning up application resources...
2025-06-30 17:47:35,054 | src.pynucleus.api.app | INFO | app.py:576 | Resource cleanup completed
2025-06-30 17:47:35,054 | test_module | INFO | app.py:574 | Cleaning up application resources...
2025-06-30 17:47:35,054 | test_module | INFO | app.py:576 | Resource cleanup completed
2025-06-30 17:47:35,054 | pynucleus.api.app | INFO | app.py:574 | Cleaning up application resources...
2025-06-30 17:47:35,054 | pynucleus.api.app | INFO | app.py:576 | Resource cleanup completed
2025-06-30 17:47:35,054 | pynucleus.api.app | INFO | app.py:574 | Cleaning up application resources...
2025-06-30 17:47:35,054 | pynucleus.api.app | INFO | app.py:576 | Resource cleanup completed
