2025-06-21 05:01:04,564 | pynucleus | INFO | <string>:36 | PyNucleus web application starting
2025-06-21 05:01:04,601 | pynucleus.api.app | INFO | app.py:51 | Cleaning up application resources...
2025-06-21 05:01:04,706 | httpx | INFO | _client.py:1025 | HTTP Request: GET https://raw.githubusercontent.com/BerriAI/litellm/main/model_prices_and_context_window.json "HTTP/1.1 200 OK"
2025-06-21 05:01:04,730 | pynucleus.api.app | INFO | app.py:55 | Resource cleanup completed
2025-06-21 05:01:05,285 | pynucleus.rag.vector_store | INFO | vector_store.py:601 | ChromaDB client initialized successfully in vector store
2025-06-21 05:01:05,285 | pynucleus.rag.vector_store | INFO | vector_store.py:630 | Loaded existing ChromaDB collection: pynucleus_documents
2025-06-21 05:01:05,297 | pynucleus.rag.vector_store | INFO | vector_store.py:635 | ChromaDB collection contains 3588 documents
2025-06-21 05:01:05,297 | pynucleus.pipeline.pipeline_rag | INFO | pipeline_rag.py:37 | Vector store (chroma) initialized successfully
2025-06-21 05:01:05,298 | pynucleus.pipeline.pipeline_rag | INFO | pipeline_rag.py:73 | ChromaDB collection contains 3588 documents
