2025-06-24 16:41:20,379 | app | INFO | app.py:256 | PyNucleus Flask API starting up...
2025-06-24 16:41:20,380 | app | INFO | app.py:182 | Diagnostics blueprint registered successfully
2025-06-24 16:41:20,382 | app | INFO | app.py:256 | PyNucleus Flask API starting up...
2025-06-24 16:41:20,382 | app | INFO | app.py:182 | Diagnostics blueprint registered successfully
2025-06-24 16:41:20,382 | app | INFO | diagnostics.py:185 | Running startup diagnostics (RUN_STARTUP_DIAG=true)
2025-06-24 16:41:26,682 | app | INFO | diagnostics.py:209 | Startup diagnostics passed: 100.0% health (healthy)
2025-06-24 16:41:26,692 | app | INFO | app.py:152 | Cleaning up application resources...
2025-06-24 16:41:26,812 | app | INFO | app.py:156 | Resource cleanup completed
2025-06-24 16:41:26,812 | app | INFO | app.py:152 | Cleaning up application resources...
2025-06-24 16:41:26,895 | app | INFO | app.py:156 | Resource cleanup completed
