2025-06-19 16:39:40,835 | urllib3.connectionpool | DEBUG | connectionpool.py:1049 | Starting new HTTPS connection (5): us.i.posthog.com:443
2025-06-19 16:39:40,835 | urllib3.util.retry | DEBUG | retry.py:521 | Incremented Retry for (url='/batch/'): Retry(total=0, connect=0, read=2, redirect=None, status=None)
2025-06-19 16:39:40,835 | urllib3.connectionpool | WARNING | connectionpool.py:868 | Retrying (Retry(total=0, connect=0, read=2, redirect=None, status=None)) after connection broken by 'NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x15045e5d0>: Failed to resolve 'us.i.posthog.com' ([Errno 8] nodename nor servname provided, or not known)")': /batch/
2025-06-19 16:39:40,835 | urllib3.connectionpool | DEBUG | connectionpool.py:1049 | Starting new HTTPS connection (6): us.i.posthog.com:443
2025-06-19 16:39:40,836 | backoff | INFO | _common.py:105 | Backing off send_request(...) for 1.4s (requests.exceptions.ConnectionError: HTTPSConnectionPool(host='us.i.posthog.com', port=443): Max retries exceeded with url: /batch/ (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x15045e850>: Failed to resolve 'us.i.posthog.com' ([Errno 8] nodename nor servname provided, or not known)")))
2025-06-19 16:39:42,560 | urllib3.connectionpool | DEBUG | connectionpool.py:1049 | Starting new HTTPS connection (7): us.i.posthog.com:443
2025-06-19 16:39:42,561 | urllib3.util.retry | DEBUG | retry.py:521 | Incremented Retry for (url='/batch/'): Retry(total=1, connect=1, read=2, redirect=None, status=None)
2025-06-19 16:39:42,562 | urllib3.connectionpool | WARNING | connectionpool.py:868 | Retrying (Retry(total=1, connect=1, read=2, redirect=None, status=None)) after connection broken by 'NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x15045f250>: Failed to resolve 'us.i.posthog.com' ([Errno 8] nodename nor servname provided, or not known)")': /batch/
2025-06-19 16:39:42,562 | urllib3.connectionpool | DEBUG | connectionpool.py:1049 | Starting new HTTPS connection (8): us.i.posthog.com:443
2025-06-19 16:39:42,562 | urllib3.util.retry | DEBUG | retry.py:521 | Incremented Retry for (url='/batch/'): Retry(total=0, connect=0, read=2, redirect=None, status=None)
2025-06-19 16:39:42,562 | urllib3.connectionpool | WARNING | connectionpool.py:868 | Retrying (Retry(total=0, connect=0, read=2, redirect=None, status=None)) after connection broken by 'NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x15045f9d0>: Failed to resolve 'us.i.posthog.com' ([Errno 8] nodename nor servname provided, or not known)")': /batch/
2025-06-19 16:39:42,562 | urllib3.connectionpool | DEBUG | connectionpool.py:1049 | Starting new HTTPS connection (9): us.i.posthog.com:443
2025-06-19 16:39:42,564 | backoff | INFO | _common.py:105 | Backing off send_request(...) for 3.0s (requests.exceptions.ConnectionError: HTTPSConnectionPool(host='us.i.posthog.com', port=443): Max retries exceeded with url: /batch/ (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x15045fc50>: Failed to resolve 'us.i.posthog.com' ([Errno 8] nodename nor servname provided, or not known)")))
2025-06-19 16:39:45,616 | urllib3.connectionpool | DEBUG | connectionpool.py:1049 | Starting new HTTPS connection (10): us.i.posthog.com:443
2025-06-19 16:39:45,633 | urllib3.util.retry | DEBUG | retry.py:521 | Incremented Retry for (url='/batch/'): Retry(total=1, connect=1, read=2, redirect=None, status=None)
