Metric,Value,Unit
Total Simulations,5,count
Successful Simulations,5,count
Failed Simulations,0,count
Success Rate,100.0,%
Average Duration,0.0,seconds
Distillation Simulations,1/1,success/total
Reactor Simulations,1/1,success/total
Heat_Exchanger Simulations,1/1,success/total
Absorber Simulations,1/1,success/total
Crystallizer Simulations,1/1,success/total
